sample_name	Experimental_Category 	FACS_Marker	cell_type	treatment	treatment_length	cell_count	organism	protocol	instrument_model	read_length	single_or_paired	flowcell	lane	success					data_processed
CORE_HL60_500_1	titration	NA	HL60	NA	NA	500	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_HL60_500_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_HL60_500_2	titration	NA	HL60	NA	NA	500	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_HL60_500_2.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_K562_10_1	titration	NA	K562	NA	NA	10	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_K562_10.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_K562_1_1	titration	NA	K562	NA	NA	1	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_K562_1_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_K562_1_2	titration	NA	K562	NA	NA	1	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_K562_1_2.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_K562_4	titration	NA	K562	NA	NA	4	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_K562_4.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_K562_500_1	titration	NA	K562	NA	NA	500	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_K562_500_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_K562_500_2	titration	NA	K562	NA	NA	500	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_K562_500_2.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_K562_50	titration	NA	K562	NA	NA	50	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_K562_50.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
CORE_KBM7_500_1	titration	NA	KBM7	NA	NA	500	human	CORE	Hiseq 2000	100	paired-end	BSF_0131_C5FD6ACXX	8	1					/fhgfs/groups/lab_bsf/meth-seq/projects/BSA_0044_WGBS_CORE-seq/MF00045_CORE_Seq/wgbs-bismark-3.3_PE/hg19/bismark/extractor/hg19.BSF_0131_C5FD6ACXX_8_CORE_KBM7_500_1.all.unmapped_trimmed_R1.fastq_bismark_bt2_pe.deduplicated.bismark.cov
